time,x1,x2
0.0,-0.5,2.25
0.1,-0.22929816203359438,NaN
0.2,0.3794215555698768,NaN
0.3,1.0254649606835313,NaN
0.4,1.084606096380226,NaN
0.5,1.0079450102920957,NaN
0.6,0.9354186669044925,NaN
0.7,0.7999648020288866,NaN
0.8,0.635452235376868,NaN
0.9,0.5210261184827241,NaN
1.0,0.21171583268886893,NaN
1.1,-0.6532419751001279,NaN
1.2,-1.2224518917867824,NaN
1.3,-1.207507952860918,NaN
1.4,-1.1362585195874735,NaN
1.5,-1.1057556454796116,NaN
1.6,-1.0730279280720416,NaN
1.7,-1.0202520604639251,NaN
1.8,-0.9681571951663818,NaN
1.9,-0.909015329780203,NaN
2.0,-0.8741395393833584,NaN
